"parsimony","norm_pars","method","gene","tree"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
4,0.444444444444444,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
4,0.444444444444444,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
4,0.444444444444444,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
9,1,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","Col_MG828","cgMLST"
8,0.888888888888889,"Illumina_SPAdes","Col_MG828","cgMLST"
7,0.777777777777778,"Illumina_SPAdes","Col_MG828","cgMLST"
